danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.706,0.89,0,-6.575,1,0.0847,0.0855,0.0,0.0465,0.896,130.051,audio_features,1kAZhbcsXqfUjnVeqPywn2,spotify:track:1kAZhbcsXqfUjnVeqPywn2,https://api.spotify.com/v1/tracks/1kAZhbcsXqfUjnVeqPywn2,https://api.spotify.com/v1/audio-analysis/1kAZhbcsXqfUjnVeqPywn2,202347,4
0.472,0.815,9,-4.002,0,0.319,0.171,0.0,0.265,0.81,98.017,audio_features,2N2QvMYwyYHE8V4KZbbG4i,spotify:track:2N2QvMYwyYHE8V4KZbbG4i,https://api.spotify.com/v1/tracks/2N2QvMYwyYHE8V4KZbbG4i,https://api.spotify.com/v1/audio-analysis/2N2QvMYwyYHE8V4KZbbG4i,230413,4
0.754,0.933,0,-5.786,1,0.0448,0.0199,0.0,0.297,0.75,103.992,audio_features,0ltBH1JNzSvQJPjJpvTu9B,spotify:track:0ltBH1JNzSvQJPjJpvTu9B,https://api.spotify.com/v1/tracks/0ltBH1JNzSvQJPjJpvTu9B,https://api.spotify.com/v1/audio-analysis/0ltBH1JNzSvQJPjJpvTu9B,225000,4
0.56,0.959,7,-2.433,1,0.102,0.000738,0.000206,0.209,0.67,163.983,audio_features,5HbCnVLXRyZVxnreOPgJCK,spotify:track:5HbCnVLXRyZVxnreOPgJCK,https://api.spotify.com/v1/tracks/5HbCnVLXRyZVxnreOPgJCK,https://api.spotify.com/v1/audio-analysis/5HbCnVLXRyZVxnreOPgJCK,216600,4
0.463,0.854,8,-5.386,1,0.32,0.0428,0.0,0.0922,0.567,65.038,audio_features,4NFhtFE68cXUrfbne8JE2c,spotify:track:4NFhtFE68cXUrfbne8JE2c,https://api.spotify.com/v1/tracks/4NFhtFE68cXUrfbne8JE2c,https://api.spotify.com/v1/audio-analysis/4NFhtFE68cXUrfbne8JE2c,216520,4
0.693,0.822,4,-5.441,0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,audio_features,5HE3z4Ew7wZ91l3ZOpGKa4,spotify:track:5HE3z4Ew7wZ91l3ZOpGKa4,https://api.spotify.com/v1/tracks/5HE3z4Ew7wZ91l3ZOpGKa4,https://api.spotify.com/v1/audio-analysis/5HE3z4Ew7wZ91l3ZOpGKa4,223800,4
0.687,0.855,7,-5.341,0,0.0416,0.0486,0.0,0.233,0.647,130.029,audio_features,5L9THbmMKB6ZlHlMgzaXHf,spotify:track:5L9THbmMKB6ZlHlMgzaXHf,https://api.spotify.com/v1/tracks/5L9THbmMKB6ZlHlMgzaXHf,https://api.spotify.com/v1/audio-analysis/5L9THbmMKB6ZlHlMgzaXHf,218373,4
0.58,0.75,4,-4.421,1,0.194,0.159,0.0,0.274,0.728,86.938,audio_features,7qUcqYzOtfZe65bednDxmz,spotify:track:7qUcqYzOtfZe65bednDxmz,https://api.spotify.com/v1/tracks/7qUcqYzOtfZe65bednDxmz,https://api.spotify.com/v1/audio-analysis/7qUcqYzOtfZe65bednDxmz,229107,4
0.695,0.628,11,-6.498,0,0.0442,0.0539,0.0,0.32,0.529,144.114,audio_features,0seHreoI3kwp38OlEgLLnT,spotify:track:0seHreoI3kwp38OlEgLLnT,https://api.spotify.com/v1/tracks/0seHreoI3kwp38OlEgLLnT,https://api.spotify.com/v1/audio-analysis/0seHreoI3kwp38OlEgLLnT,236200,4
0.608,0.828,2,-3.597,1,0.051,0.125,0.0,0.113,0.484,128.919,audio_features,5DcPOPPUnNhyPYbTi2aWjR,spotify:track:5DcPOPPUnNhyPYbTi2aWjR,https://api.spotify.com/v1/tracks/5DcPOPPUnNhyPYbTi2aWjR,https://api.spotify.com/v1/audio-analysis/5DcPOPPUnNhyPYbTi2aWjR,212841,4
0.641,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078,audio_features,3bidbhpOYeV4knp8AIu8Xn,spotify:track:3bidbhpOYeV4knp8AIu8Xn,https://api.spotify.com/v1/tracks/3bidbhpOYeV4knp8AIu8Xn,https://api.spotify.com/v1/audio-analysis/3bidbhpOYeV4knp8AIu8Xn,258343,4
0.491,0.857,7,-2.634,1,0.0656,0.0834,7.57e-06,0.344,0.395,129.971,audio_features,1HfPcQ3c2HyGeID3u1lmCa,spotify:track:1HfPcQ3c2HyGeID3u1lmCa,https://api.spotify.com/v1/tracks/1HfPcQ3c2HyGeID3u1lmCa,https://api.spotify.com/v1/audio-analysis/1HfPcQ3c2HyGeID3u1lmCa,222500,4
0.473,0.777,9,-3.698,1,0.059,0.119,7.87e-05,0.671,0.21,136.249,audio_features,6Ep6BzIOB9tz3P4sWqiiAB,spotify:track:6Ep6BzIOB9tz3P4sWqiiAB,https://api.spotify.com/v1/tracks/6Ep6BzIOB9tz3P4sWqiiAB,https://api.spotify.com/v1/audio-analysis/6Ep6BzIOB9tz3P4sWqiiAB,186813,4
0.747,0.937,0,-5.746,1,0.0453,0.0208,0.0,0.29,0.739,103.976,audio_features,3bC1ahPIYt1btJzSSEyyrF,spotify:track:3bC1ahPIYt1btJzSSEyyrF,https://api.spotify.com/v1/tracks/3bC1ahPIYt1btJzSSEyyrF,https://api.spotify.com/v1/audio-analysis/3bC1ahPIYt1btJzSSEyyrF,224653,4
0.695,0.869,8,-5.066,1,0.0483,0.41,0.0,0.237,0.58,124.989,audio_features,05SBRd4fXgn8FX7bf8BCAE,spotify:track:05SBRd4fXgn8FX7bf8BCAE,https://api.spotify.com/v1/tracks/05SBRd4fXgn8FX7bf8BCAE,https://api.spotify.com/v1/audio-analysis/05SBRd4fXgn8FX7bf8BCAE,234507,4
0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.788,129.992,audio_features,3cHyrEgdyYRjgJKSOiOtcS,spotify:track:3cHyrEgdyYRjgJKSOiOtcS,https://api.spotify.com/v1/tracks/3cHyrEgdyYRjgJKSOiOtcS,https://api.spotify.com/v1/audio-analysis/3cHyrEgdyYRjgJKSOiOtcS,204160,4
0.772,0.685,5,-6.849,1,0.0696,0.019,8.96e-05,0.131,0.501,130.033,audio_features,2iJuuzV8P9Yz0VSurttIV5,spotify:track:2iJuuzV8P9Yz0VSurttIV5,https://api.spotify.com/v1/tracks/2iJuuzV8P9Yz0VSurttIV5,https://api.spotify.com/v1/audio-analysis/2iJuuzV8P9Yz0VSurttIV5,283400,4
0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,audio_features,6g1NlCpW7fgqDnWbCCDrHl,spotify:track:6g1NlCpW7fgqDnWbCCDrHl,https://api.spotify.com/v1/tracks/6g1NlCpW7fgqDnWbCCDrHl,https://api.spotify.com/v1/audio-analysis/6g1NlCpW7fgqDnWbCCDrHl,247427,4
0.781,0.526,6,-6.985,0,0.293,0.0619,0.0,0.0457,0.662,94.992,audio_features,4YMqbFcDIFiCBd02PzUBcM,spotify:track:4YMqbFcDIFiCBd02PzUBcM,https://api.spotify.com/v1/tracks/4YMqbFcDIFiCBd02PzUBcM,https://api.spotify.com/v1/audio-analysis/4YMqbFcDIFiCBd02PzUBcM,235613,4
0.691,0.921,8,-1.702,0,0.0533,0.173,0.0,0.331,0.8,130.072,audio_features,5YPMEOJ58kfl56VHxTgwx3,spotify:track:5YPMEOJ58kfl56VHxTgwx3,https://api.spotify.com/v1/tracks/5YPMEOJ58kfl56VHxTgwx3,https://api.spotify.com/v1/audio-analysis/5YPMEOJ58kfl56VHxTgwx3,201000,4
0.49,0.885,3,-4.121,1,0.0396,0.00218,0.0,0.0741,0.64,166.996,audio_features,37sINbJZcFdHFAsVNsPq1i,spotify:track:37sINbJZcFdHFAsVNsPq1i,https://api.spotify.com/v1/tracks/37sINbJZcFdHFAsVNsPq1i,https://api.spotify.com/v1/audio-analysis/37sINbJZcFdHFAsVNsPq1i,245467,4
0.693,0.822,4,-5.441,0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,audio_features,3zrYNl1aMdFrQkcOjKVr5u,spotify:track:3zrYNl1aMdFrQkcOjKVr5u,https://api.spotify.com/v1/tracks/3zrYNl1aMdFrQkcOjKVr5u,https://api.spotify.com/v1/audio-analysis/3zrYNl1aMdFrQkcOjKVr5u,223800,4
0.663,0.705,1,-4.972,0,0.0385,0.0654,0.0,0.117,0.477,122.014,audio_features,1QzFhzIOW7CyRJLpmq5CM0,spotify:track:1QzFhzIOW7CyRJLpmq5CM0,https://api.spotify.com/v1/tracks/1QzFhzIOW7CyRJLpmq5CM0,https://api.spotify.com/v1/audio-analysis/1QzFhzIOW7CyRJLpmq5CM0,257387,4
0.727,0.938,11,-2.872,0,0.288,0.00432,0.0,0.0911,0.757,132.077,audio_features,1R2SZUOGJqqBiLuvwKOT2Y,spotify:track:1R2SZUOGJqqBiLuvwKOT2Y,https://api.spotify.com/v1/tracks/1R2SZUOGJqqBiLuvwKOT2Y,https://api.spotify.com/v1/audio-analysis/1R2SZUOGJqqBiLuvwKOT2Y,219493,4
0.668,0.758,7,-3.589,1,0.158,0.0338,0.0,0.204,0.531,135.958,audio_features,4yOn1TEcfsKHUJCL2h1r8I,spotify:track:4yOn1TEcfsKHUJCL2h1r8I,https://api.spotify.com/v1/tracks/4yOn1TEcfsKHUJCL2h1r8I,https://api.spotify.com/v1/audio-analysis/4yOn1TEcfsKHUJCL2h1r8I,229507,4
0.681,0.708,5,-6.019,0,0.0304,0.042,0.14,0.682,0.356,92.993,audio_features,3GBlLqIYgB8zWaeWDNJzdh,spotify:track:3GBlLqIYgB8zWaeWDNJzdh,https://api.spotify.com/v1/tracks/3GBlLqIYgB8zWaeWDNJzdh,https://api.spotify.com/v1/audio-analysis/3GBlLqIYgB8zWaeWDNJzdh,237760,4
0.504,0.912,1,-2.867,1,0.259,0.199,0.0,0.105,0.248,189.983,audio_features,43lwHSTEexXRVVeXZtAtfi,spotify:track:43lwHSTEexXRVVeXZtAtfi,https://api.spotify.com/v1/tracks/43lwHSTEexXRVVeXZtAtfi,https://api.spotify.com/v1/audio-analysis/43lwHSTEexXRVVeXZtAtfi,218539,4
0.635,0.647,5,-5.864,1,0.0366,0.192,0.0,0.154,0.201,104.058,audio_features,6LtPIXlIzPOTF8vTecYjRe,spotify:track:6LtPIXlIzPOTF8vTecYjRe,https://api.spotify.com/v1/tracks/6LtPIXlIzPOTF8vTecYjRe,https://api.spotify.com/v1/audio-analysis/6LtPIXlIzPOTF8vTecYjRe,262693,4
0.579,0.896,5,-4.132,0,0.373,0.00945,0.836,0.121,0.103,125.672,audio_features,48kF7W23OIcVBsNY5UesuQ,spotify:track:48kF7W23OIcVBsNY5UesuQ,https://api.spotify.com/v1/tracks/48kF7W23OIcVBsNY5UesuQ,https://api.spotify.com/v1/audio-analysis/48kF7W23OIcVBsNY5UesuQ,160000,4
0.742,0.819,1,-5.307,1,0.0487,0.372,0.0,0.277,0.709,117.986,audio_features,1CUVN2kn7mW5FjkqXTR2W1,spotify:track:1CUVN2kn7mW5FjkqXTR2W1,https://api.spotify.com/v1/tracks/1CUVN2kn7mW5FjkqXTR2W1,https://api.spotify.com/v1/audio-analysis/1CUVN2kn7mW5FjkqXTR2W1,196613,4
0.69,0.811,8,-5.475,1,0.058,0.044,0.0,0.205,0.521,122.001,audio_features,3eBwnjEe60kDJAMlFg1ewf,spotify:track:3eBwnjEe60kDJAMlFg1ewf,https://api.spotify.com/v1/tracks/3eBwnjEe60kDJAMlFg1ewf,https://api.spotify.com/v1/audio-analysis/3eBwnjEe60kDJAMlFg1ewf,204590,4
0.513,0.768,4,-4.868,0,0.0587,0.0118,1.94e-05,0.294,0.235,84.264,audio_features,3cNjgVBKTJ1SvKhunrCdVy,spotify:track:3cNjgVBKTJ1SvKhunrCdVy,https://api.spotify.com/v1/tracks/3cNjgVBKTJ1SvKhunrCdVy,https://api.spotify.com/v1/audio-analysis/3cNjgVBKTJ1SvKhunrCdVy,210580,4
0.504,0.847,7,-6.81,0,0.0442,0.00434,0.0,0.816,0.28,127.854,audio_features,6F1kPSgdnlSzZRfskE9vaV,spotify:track:6F1kPSgdnlSzZRfskE9vaV,https://api.spotify.com/v1/tracks/6F1kPSgdnlSzZRfskE9vaV,https://api.spotify.com/v1/audio-analysis/6F1kPSgdnlSzZRfskE9vaV,211890,4
0.494,0.559,0,-5.445,1,0.0565,0.436,0.0,0.164,0.264,119.247,audio_features,12REd1n8PeiHHWOh066tpr,spotify:track:12REd1n8PeiHHWOh066tpr,https://api.spotify.com/v1/tracks/12REd1n8PeiHHWOh066tpr,https://api.spotify.com/v1/audio-analysis/12REd1n8PeiHHWOh066tpr,233337,4
0.45,0.825,10,-4.066,0,0.372,0.121,0.0,0.109,0.742,82.823,audio_features,53B2XmmjJ9rriW1qciMBeX,spotify:track:53B2XmmjJ9rriW1qciMBeX,https://api.spotify.com/v1/tracks/53B2XmmjJ9rriW1qciMBeX,https://api.spotify.com/v1/audio-analysis/53B2XmmjJ9rriW1qciMBeX,187973,4
0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,audio_features,6i0V12jOa3mr6uu4WYhUBr,spotify:track:6i0V12jOa3mr6uu4WYhUBr,https://api.spotify.com/v1/tracks/6i0V12jOa3mr6uu4WYhUBr,https://api.spotify.com/v1/audio-analysis/6i0V12jOa3mr6uu4WYhUBr,195920,4
0.688,0.532,6,-8.361,0,0.0875,0.0356,3.08e-06,0.172,0.565,164.068,audio_features,3KZcrZ36LW9RnChK1iIkth,spotify:track:3KZcrZ36LW9RnChK1iIkth,https://api.spotify.com/v1/tracks/3KZcrZ36LW9RnChK1iIkth,https://api.spotify.com/v1/audio-analysis/3KZcrZ36LW9RnChK1iIkth,223079,4
0.377,0.595,3,-5.936,1,0.0489,0.303,0.0,0.095,0.264,144.464,audio_features,0cj2joJcY6b4XSRfj2eZOl,spotify:track:0cj2joJcY6b4XSRfj2eZOl,https://api.spotify.com/v1/tracks/0cj2joJcY6b4XSRfj2eZOl,https://api.spotify.com/v1/audio-analysis/0cj2joJcY6b4XSRfj2eZOl,290900,4
0.554,0.321,9,-8.251,1,0.028,0.893,0.0,0.0996,0.288,135.047,audio_features,6QPKYGnAW9QozVz2dSWqRg,spotify:track:6QPKYGnAW9QozVz2dSWqRg,https://api.spotify.com/v1/tracks/6QPKYGnAW9QozVz2dSWqRg,https://api.spotify.com/v1/audio-analysis/6QPKYGnAW9QozVz2dSWqRg,285240,4
0.603,0.67,2,-3.882,0,0.0249,0.00408,1.66e-06,0.112,0.445,107.995,audio_features,5PKWUDfQFtc5qqo8cs1gQp,spotify:track:5PKWUDfQFtc5qqo8cs1gQp,https://api.spotify.com/v1/tracks/5PKWUDfQFtc5qqo8cs1gQp,https://api.spotify.com/v1/audio-analysis/5PKWUDfQFtc5qqo8cs1gQp,242974,4
0.593,0.74,8,-6.12,1,0.0339,0.363,2.22e-05,0.102,0.502,118.008,audio_features,1NrJYpdAi7uosDRPmSYrsG,spotify:track:1NrJYpdAi7uosDRPmSYrsG,https://api.spotify.com/v1/tracks/1NrJYpdAi7uosDRPmSYrsG,https://api.spotify.com/v1/audio-analysis/1NrJYpdAi7uosDRPmSYrsG,208107,4
0.645,0.434,0,-7.791,1,0.0399,0.00187,0.00226,0.124,0.249,100.01,audio_features,6hvNLxrHBdR1qzdrKasCPE,spotify:track:6hvNLxrHBdR1qzdrKasCPE,https://api.spotify.com/v1/tracks/6hvNLxrHBdR1qzdrKasCPE,https://api.spotify.com/v1/audio-analysis/6hvNLxrHBdR1qzdrKasCPE,213013,4
0.641,0.176,6,-11.692,1,0.0349,0.638,5.14e-06,0.252,0.297,76.031,audio_features,5pY3ovFxbvAg7reGZjJQSp,spotify:track:5pY3ovFxbvAg7reGZjJQSp,https://api.spotify.com/v1/tracks/5pY3ovFxbvAg7reGZjJQSp,https://api.spotify.com/v1/audio-analysis/5pY3ovFxbvAg7reGZjJQSp,299147,4
0.563,0.592,9,-4.571,1,0.0276,0.209,5.08e-05,0.132,0.136,104.016,audio_features,11bD1JtSjlIgKgZG2134DZ,spotify:track:11bD1JtSjlIgKgZG2134DZ,https://api.spotify.com/v1/tracks/11bD1JtSjlIgKgZG2134DZ,https://api.spotify.com/v1/audio-analysis/11bD1JtSjlIgKgZG2134DZ,267933,4
0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,audio_features,6Vc5wAMmXdKIAM7WUoEb7N,spotify:track:6Vc5wAMmXdKIAM7WUoEb7N,https://api.spotify.com/v1/tracks/6Vc5wAMmXdKIAM7WUoEb7N,https://api.spotify.com/v1/audio-analysis/6Vc5wAMmXdKIAM7WUoEb7N,229400,3
0.651,0.741,4,-5.067,0,0.0408,0.00293,1.2e-05,0.217,0.386,168.02,audio_features,2QJnTfMpNG05KFf2E3gVIJ,spotify:track:2QJnTfMpNG05KFf2E3gVIJ,https://api.spotify.com/v1/tracks/2QJnTfMpNG05KFf2E3gVIJ,https://api.spotify.com/v1/audio-analysis/2QJnTfMpNG05KFf2E3gVIJ,232773,4
0.669,0.846,4,-3.976,0,0.156,0.15,0.0,0.154,0.793,150.014,audio_features,1gou2U6ZcLKXLBC3MYVtEu,spotify:track:1gou2U6ZcLKXLBC3MYVtEu,https://api.spotify.com/v1/tracks/1gou2U6ZcLKXLBC3MYVtEu,https://api.spotify.com/v1/audio-analysis/1gou2U6ZcLKXLBC3MYVtEu,206200,4
0.542,0.644,3,-6.196,1,0.0961,0.0219,0.0,0.138,0.545,153.972,audio_features,4htrHrq1AB38vprDEha0hv,spotify:track:4htrHrq1AB38vprDEha0hv,https://api.spotify.com/v1/tracks/4htrHrq1AB38vprDEha0hv,https://api.spotify.com/v1/audio-analysis/4htrHrq1AB38vprDEha0hv,249560,4
0.774,0.839,5,-3.948,0,0.114,0.027,0.0166,0.252,0.923,142.985,audio_features,26nr9XnFCYWxBTIP7HyWXg,spotify:track:26nr9XnFCYWxBTIP7HyWXg,https://api.spotify.com/v1/tracks/26nr9XnFCYWxBTIP7HyWXg,https://api.spotify.com/v1/audio-analysis/26nr9XnFCYWxBTIP7HyWXg,198813,4
0.656,0.675,1,-7.455,1,0.0457,0.119,0.0,0.0925,0.353,126.889,audio_features,02RaNOB5CIiXAhgvLE6Xp0,spotify:track:02RaNOB5CIiXAhgvLE6Xp0,https://api.spotify.com/v1/tracks/02RaNOB5CIiXAhgvLE6Xp0,https://api.spotify.com/v1/audio-analysis/02RaNOB5CIiXAhgvLE6Xp0,204573,4
0.737,0.95,6,-2.522,0,0.0611,0.017,0.0,0.233,0.968,127.0,audio_features,3PfG2rMOU9HglycfbIC4yM,spotify:track:3PfG2rMOU9HglycfbIC4yM,https://api.spotify.com/v1/tracks/3PfG2rMOU9HglycfbIC4yM,https://api.spotify.com/v1/audio-analysis/3PfG2rMOU9HglycfbIC4yM,197453,4
0.578,0.839,2,-3.806,1,0.0755,0.000649,0.0,0.0708,0.509,121.995,audio_features,1ttYNQjND5nBtUnpNMlLQQ,spotify:track:1ttYNQjND5nBtUnpNMlLQQ,https://api.spotify.com/v1/tracks/1ttYNQjND5nBtUnpNMlLQQ,https://api.spotify.com/v1/audio-analysis/1ttYNQjND5nBtUnpNMlLQQ,240280,4
0.349,0.795,7,-4.133,0,0.0758,0.0102,0.000138,0.0812,0.542,148.985,audio_features,5U2m76qAMdr3gXI0g6ptlG,spotify:track:5U2m76qAMdr3gXI0g6ptlG,https://api.spotify.com/v1/tracks/5U2m76qAMdr3gXI0g6ptlG,https://api.spotify.com/v1/audio-analysis/5U2m76qAMdr3gXI0g6ptlG,231987,1
0.543,0.691,10,-6.403,0,0.0425,0.107,0.0,0.218,0.335,100.014,audio_features,7kUtJKGZzLNgIkq1Galkt0,spotify:track:7kUtJKGZzLNgIkq1Galkt0,https://api.spotify.com/v1/tracks/7kUtJKGZzLNgIkq1Galkt0,https://api.spotify.com/v1/audio-analysis/7kUtJKGZzLNgIkq1Galkt0,170213,4
0.702,0.82,7,-4.323,0,0.063,0.196,0.0,0.156,0.52,107.936,audio_features,2KMJ5CoxY4ECG9TZyNWmpv,spotify:track:2KMJ5CoxY4ECG9TZyNWmpv,https://api.spotify.com/v1/tracks/2KMJ5CoxY4ECG9TZyNWmpv,https://api.spotify.com/v1/audio-analysis/2KMJ5CoxY4ECG9TZyNWmpv,187126,4
0.68,0.847,11,-6.439,1,0.0353,0.000755,0.0,0.159,0.792,136.039,audio_features,2hQVEDz4hG8RGmzSPKTDrT,spotify:track:2hQVEDz4hG8RGmzSPKTDrT,https://api.spotify.com/v1/tracks/2hQVEDz4hG8RGmzSPKTDrT,https://api.spotify.com/v1/audio-analysis/2hQVEDz4hG8RGmzSPKTDrT,207394,4
0.734,0.847,11,-3.713,0,0.0346,0.355,0.000144,0.154,0.673,104.013,audio_features,16NOHRm0OEjmg55OZAxVmV,spotify:track:16NOHRm0OEjmg55OZAxVmV,https://api.spotify.com/v1/tracks/16NOHRm0OEjmg55OZAxVmV,https://api.spotify.com/v1/audio-analysis/16NOHRm0OEjmg55OZAxVmV,209425,4
0.565,0.957,3,-4.167,0,0.0723,0.00923,0.69,0.293,0.175,127.953,audio_features,7FKjWBgGgCGYoRRDIhp4bR,spotify:track:7FKjWBgGgCGYoRRDIhp4bR,https://api.spotify.com/v1/tracks/7FKjWBgGgCGYoRRDIhp4bR,https://api.spotify.com/v1/audio-analysis/7FKjWBgGgCGYoRRDIhp4bR,225000,4
0.718,0.776,7,-5.208,0,0.0693,0.000624,5.3e-06,0.207,0.622,120.015,audio_features,4odiyU3myG29Ld0wurMfE8,spotify:track:4odiyU3myG29Ld0wurMfE8,https://api.spotify.com/v1/tracks/4odiyU3myG29Ld0wurMfE8,https://api.spotify.com/v1/audio-analysis/4odiyU3myG29Ld0wurMfE8,227787,4
0.535,0.829,4,-4.371,1,0.0613,0.0713,2.7e-05,0.146,0.573,127.952,audio_features,3peFUAm5l0kWIJXy7Q8GYP,spotify:track:3peFUAm5l0kWIJXy7Q8GYP,https://api.spotify.com/v1/tracks/3peFUAm5l0kWIJXy7Q8GYP,https://api.spotify.com/v1/audio-analysis/3peFUAm5l0kWIJXy7Q8GYP,232519,4
0.416,0.849,1,-4.909,0,0.0455,0.00864,0.000138,0.204,0.147,125.098,audio_features,34NNeV9jfgNgaALgUr0u9V,spotify:track:34NNeV9jfgNgaALgUr0u9V,https://api.spotify.com/v1/tracks/34NNeV9jfgNgaALgUr0u9V,https://api.spotify.com/v1/audio-analysis/34NNeV9jfgNgaALgUr0u9V,205440,4
0.621,0.802,6,-4.735,1,0.118,0.0235,0.0,0.108,0.819,167.976,audio_features,1OmxpKVSvn0LGcM3SQS4OV,spotify:track:1OmxpKVSvn0LGcM3SQS4OV,https://api.spotify.com/v1/tracks/1OmxpKVSvn0LGcM3SQS4OV,https://api.spotify.com/v1/audio-analysis/1OmxpKVSvn0LGcM3SQS4OV,168200,4
0.529,0.876,5,-5.649,1,0.0337,0.00102,1.92e-05,0.353,0.282,144.998,audio_features,3UFoVEy7B2yqUMB21yyJm2,spotify:track:3UFoVEy7B2yqUMB21yyJm2,https://api.spotify.com/v1/tracks/3UFoVEy7B2yqUMB21yyJm2,https://api.spotify.com/v1/audio-analysis/3UFoVEy7B2yqUMB21yyJm2,216566,4
0.797,0.962,1,-4.239,1,0.0906,0.000359,0.767,0.0454,0.422,128.047,audio_features,11xsm79HwpWV1C1lMXoVo9,spotify:track:11xsm79HwpWV1C1lMXoVo9,https://api.spotify.com/v1/tracks/11xsm79HwpWV1C1lMXoVo9,https://api.spotify.com/v1/audio-analysis/11xsm79HwpWV1C1lMXoVo9,180502,4
